FID,geom,site_name,site_address,site_city,site_state,site_zip,site_region,site_area,site_pci,globalid,client_globalid,Latitude,Longitude
Sites.605,POINT (-122.84138277296222 49.22737244312981),7045,1900 United Boulevard,Coquitlam,BC,,,255345,68,{a415b7f4-fcfe-46c0-999c-69c813d3439c},,49.22737244312980000000,-122.84138277296200000000
Sites.634,POINT (-122.88719738561471 49.13694419300363),7044,7350 120 St,Surrey,BC,,,272709,50,{0d417700-741b-4ad8-8566-c01e9aa74eb7},,49.13694419300360000000,-122.88719738561400000000
Sites.552,POINT (-122.66730181899261 49.121769072209005),Store 7041,6550 200 St,Langley Twp,BC,V2Y 1P2,,223490,54,{28bbe928-ad8e-cc92-12fe9ad8bb16},,49.12176907220900000000,-122.66730181899200000000
Sites.320,POINT (-122.33820599801908 48.44802589656743),8561,2001 Marketplace Dr.,Burlington,WA,98233,,293663,72,{82670453-16c2-4f21-806d-529e04321057},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},48.44802589656740000000,-122.33820599801900000000
Sites.387,POINT (-122.65489931107243 48.29316677270344),8563,31800 State Rte 20,Oak Harbor,WA,98277,,263624,87,{29be2ac1-d863-4898-9c1f-4a9e00327e42},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},48.29316677270340000000,-122.65489931107200000000
Sites.389,POINT (-123.13062477771089 48.07699807732037),8998,1145 W Washington St.,Sequim,WA,98382,,255531,66,{39aec50d-2251-4c61-b7db-926e366d20c4},,48.07699807732030000000,-123.13062477771000000000
Sites.342,POINT (-122.10391298859952 48.00255430669413),Frontier Village S.C.,SR 9 & Snohomish Marysville Rd.,Lake Stevens,WA,98258,,445473,53,{d5e1b182-986c-4a92-b017-53dd4cc748a7},{9332e7f4-c292-4480-af81-dacc89da5a87},48.00255430669410000000,-122.10391298859900000000
Sites.272,POINT (-122.21374681393502 47.876799239183825),Gateway S.C.,Bothell Everett Hwy. & 132nd St. SE,Mill Creek,WE,98012,,255526,87,{c95a06f4-46ed-41bf-99bd-4b3f29fdc00a},,47.87679923918380000000,-122.21374681393500000000
Sites.184,POINT (-117.40942577651091 47.708832609552566),Franklin Park SC,Division St & Rowan Ave,Spokane,WA,99208,,180977,51,{48692d40-077a-49a5-a8a3-c2e639d21466},,47.70883260955250000000,-117.40942577651000000000
Sites.360,POINT (-122.68943811595484 47.651965020495425),"114950 - Silverdale Plaza
",2950 NW Bucklin Hill Rd,Silverdale,WA,98383,,389049,48,{aa0b51f6-40da-4f10-9895-590f03a417ff},{9332e7f4-c292-4480-af81-dacc89da5a87},47.65196502049540000000,-122.68943811595400000000
Sites.42,POINT (-122.35484795599996 47.62513901500006),Queen Anne Marketplace,Mercer St & 1st Ave,Seattle,WA,98109,,18767,62,{86071578-27A7-4EC5-9432-867610F4298E},,47.62513901500000000000,-122.35484795599900000000
Sites.394,POINT (-122.33588479866296 47.57905958260966),4702,2701 Utah Ave S,Seattle,WA,98134,,157910,76,{561398c0-0018-4535-92d5-b8979cf22f32},,47.57905958260960000000,-122.33588479866200000000
Sites.313,POINT (-122.17143094508396 47.57334773274838),The Marketplace at Factoria,Factoria Blvd. SE & I-90,Bellevue,WA,98006,,1025353,57,{ab3d8e07-f581-4378-b92c-32d91f3ec621},,47.57334773274830000000,-122.17143094508300000000
Sites.61,POINT (-122.28823309599994 47.56888343800006),Rainier Square Plaza,Rainier Ave S & S Charles St,Seattle,WA,98118,194942,194942,48,{23A3408B-5B21-4985-9574-F82C0243C4B5},,47.56888343800000000000,-122.28823309599900000000
Sites.341,POINT (-122.26021369794853 47.44716974932835),Parkway Super Center,Southcewnter PKWY & Minkler BLVD,Tukwila,WA,98188,,742744,58,{2f3297aa-c6db-4c15-a553-ebf40c201c65},{9332e7f4-c292-4480-af81-dacc89da5a87},47.44716974932830000000,-122.26021369794800000000
